NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
555.012;5;990;2,0500;62,6400;Kg;0,0000;0,0000;60;5405;0,0000
555.012;6;230;7,5000;26,9100;Kg;0,0000;0,0000;60;5405;0,0000
555.012;7;277;5,0000;22,3100;Kg;0,0000;0,0000;00;5102;0,0000
555.012;8;290;14,7000;25,0500;Kg;18,0000;0,0000;20;5102;33,3300
555.012;9;305;1,0000;17,7000;Cx;18,0000;0,0000;20;5102;61,1100
555.012;10;227;5,0000;18,9900;Kg;0,0000;0,0000;60;5405;0,0000
555.012;11;220;10,0000;22,6200;Kg;0,0000;0,0000;60;5405;0,0000
555.012;12;992;36,0000;5,3000;Lt;12,0000;2,0000;60;5405;0,0000
555.013;1;196;2,0500;26,7900;Kg;18,0000;3,0000;20;5102;33,3300
555.782;1;837;10,0000;14,5100;Un;0,0000;3,0000;60;5405;0,0000
555.782;2;129;5,0000;34,8700;Un;18,0000;3,0000;20;5102;33,3300
555.783;1;194;2,4900;53,1800;Kg;12,0000;0,0000;00;5102;0,0000
555.783;2;181;3,0700;42,1200;Kg;18,0000;0,0000;20;5102;33,3300
555.896;1;224;2,5000;21,3400;Kg;0,0000;0,0000;00;5102;0,0000
555.896;2;213;3,5400;19,6800;Kg;0,0000;0,0000;00;5102;0,0000
555.705;1;194;2,4000;53,1800;Kg;12,0000;0,0000;00;5102;0,0000
555.705;2;155;10,0000;34,9800;Kg;18,0000;0,0000;20;5102;33,3300
555.705;3;160;5,2000;37,9500;Kg;12,0000;0,0000;00;5102;0,0000
555.705;4;144;2,0000;44,3700;Un;18,0000;0,0000;00;5102;0,0000
555.705;5;294;1,7000;40,2500;Kg;0,0000;0,0000;60;5405;0,0000
555.705;6;159;4,0000;40,3700;Kg;18,0000;0,0000;20;5102;33,3300
555.015;1;129;3,0000;30,5100;Un;18,0000;0,0000;20;5102;33,3300
555.706;1;126;0,7340;11,6200;Kg;18,0000;0,0000;20;5102;33,3300
555.706;2;110;0,8080;39,9000;Kg;12,0000;0,0000;00;5102;0,0000
555.016;1;371;3,0000;205,2000;Bd;18,0000;2,0000;20;5102;61,1100
555.016;2;356;20,0000;10,4700;Un;0,0000;1,0000;60;5405;0,0000
555.017;1;148;6,6600;38,2800;Kg;12,0000;0,0000;00;5102;0,0000
555.017;2;346;2,0000;12,6500;Un;18,0000;0,0000;00;5102;0,0000
555.018;1;356;4,0000;10,4700;Un;0,0000;1,0000;60;5405;0,0000
555.018;2;198;3,0000;10,6200;Un;18,0000;0,0000;20;5102;33,3300
555.019;1;440;1,0000;30,2100;Bd;0,0000;0,0000;00;5102;0,0000
555.019;2;160;21,1450;37,9500;Kg;12,0000;0,0000;00;5102;0,0000
555.020;1;122;12,3000;34,1600;Kg;12,0000;0,0000;00;5102;0,0000
555.020;2;801;3,1600;44,8400;Kg;18,0000;0,0000;20;5102;33,3300
555.020;3;126;3,3800;11,6200;Kg;18,0000;0,0000;20;5102;33,3300
